"record_id","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","landtypeid","routetypeid","routetypedetailid"
1,840,2,1,"ST FLORIAN",1,-34.8686880,-87.6041417,14,27,0,1,1
2,840,2,2,"HILLSBORO",0,-34.6386747,-87.1912919,14,24,0,1,1
3,840,2,3,"FLORENCE",0,-34.8000000,-87.7333333,14,24,0,1,1
4,840,2,4,"TRADE",1,-34.0297881,-87.0592352,13,28,0,1,1
5,840,2,5,"SUMMITT",0,-34.2016687,-86.4934089,13,28,0,1,1
6,840,2,6,"VALHERMOSO SPGS",1,-34.5012877,-86.6855493,14,24,0,1,1
7,840,2,7,"SWAIM",1,-34.8680404,-86.2030371,14,24,0,1,1
8,840,2,8,"PINE GROVE",1,-34.0278089,-85.7110414,13,28,0,1,1
9,840,2,9,"DAWSON",0,-34.3039507,-85.9267589,13,28,0,1,1
10,840,2,10,"MILLERVILLE",1,-33.1913463,-85.9258408,11,29,0,1,1
11,840,2,11,"DEARMANVILLE",0,-33.6257237,-85.7518379,13,28,0,1,1
12,840,2,12,"SUNNY EVE",1,-33.6076572,-85.7511714,13,28,0,1,1
13,840,2,13,"GREENSPORT",1,-33.8116977,-86.1153789,13,28,0,1,1
14,840,2,14,"SMYER LAKE",1,-33.4549551,-86.6010915,13,28,0,1,1
15,840,2,15,"MT OLIVE",1,-33.6822947,-86.8721632,13,28,0,1,1
16,840,2,16,"HOWARD",1,-33.8481773,-87.5888357,13,27,0,1,1
17,840,2,17,"MAYTOWN",1,-33.5263185,-87.0044623,13,28,0,1,1
18,840,2,18,"MARVEL",0,-33.1500000,-87.0000000,4,28,0,1,1
19,840,2,19,"LIBERTY",1,-33.4765537,-88.1712189,4,27,0,1,1
20,840,2,20,"RIDERWOOD",1,-32.1307226,-88.3172665,4,27,0,1,1
21,840,2,21,"LINDEN",1,-32.2782397,-87.8359539,4,27,0,1,1
22,840,2,22,"HARRELL",1,-32.4427150,-87.2158334,4,27,0,1,1
23,840,2,23,"GREENSBORO",1,-32.7846996,-87.5153953,4,27,0,1,1
24,840,2,24,"SPRAGUE",1,-32.1312407,-86.2754989,4,27,0,1,1
25,840,2,25,"BILLINGSLEY",1,-32.6594297,-86.7017714,4,27,0,1,1
26,840,2,26,"WALLSBORO",1,-32.5890245,-86.1307777,4,27,0,1,1
27,840,2,27,"WARRIOR STD",1,-32.3116131,-85.5530853,4,27,0,1,1
28,840,2,28,"LANETT",1,-32.8854647,-85.2044589,11,29,0,1,1
29,840,2,29,"COTTONTON",1,-32.1473077,-85.0626449,4,27,0,1,1
30,840,2,30,"NEWTON",1,-31.3388298,-85.5895835,4,27,0,1,1
31,840,2,31,"GRANGEBURG",1,-31.0081277,-85.2112631,4,27,0,1,1
32,840,2,32,"BRUNDIDGE",1,-31.7165541,-85.8156189,4,27,0,1,1
33,840,2,33,"BRANTLEY",1,-31.5859083,-86.2503780,4,27,0,1,1
34,840,2,34,"SOUTH",1,-31.4439507,-86.6131969,4,27,0,1,1
35,840,2,35,"MCLELLAN",1,-30.9977072,-86.8858316,4,27,0,1,1
36,840,2,36,"BEATRICE",1,-31.7399574,-87.2090516,4,27,0,1,1
37,840,2,37,"LATHAM",0,-31.0969767,-87.8321999,4,27,0,1,1
38,840,2,38,"CASTLEBERRY",1,-31.3180673,-87.1203132,4,27,0,1,1
39,840,2,39,"MILLRY",1,-31.6326050,-88.3131441,4,27,0,1,1
40,840,2,40,"DAUPHIN IS",0,-30.2540327,-88.1125479,3,27,0,1,1
41,840,2,41,"ALABAMA PT",0,-30.2818577,-87.5183809,3,27,0,1,1
42,840,2,42,"FOLEY",0,-30.3701137,-87.6833489,3,27,0,1,1
43,840,2,43,"BLOCTON",1,-33.1156047,-87.1007539,13,27,0,1,1
44,840,2,44,"BIRMINGHAM",0,-33.5909437,-86.6965489,13,28,0,1,1
45,840,2,45,"WHITEHOUSE",1,-34.1311637,-87.7621469,4,27,0,1,1
46,840,2,46,"GUNTERSVILLE",1,-34.3142387,-86.4773569,13,28,0,1,1
47,840,2,47,"JENA",1,-33.1379607,-87.8205274,4,27,0,1,1
48,840,2,48,"EPES",1,-32.6807827,-88.1229309,4,27,0,1,1
49,840,2,49,"WEDGEWORTH",1,-32.8055085,-87.7643955,4,27,0,1,1
50,840,2,50,"WHITEHALL",1,-32.3276808,-86.7118894,4,27,0,1,1
51,840,2,51,"LIBERTY CITY",1,-32.5816871,-85.7164607,11,28,0,1,1
52,840,2,52,"ESCATAWPA",1,-31.2926075,-88.3851600,4,27,0,1,1
53,840,2,53,"GROVE HILL",1,-31.7097587,-87.7767179,4,27,0,1,1
54,840,2,54,"FAIRVIEW",1,-31.2223969,-86.0994295,4,27,0,1,1
55,840,2,55,"ELAMVILLE",1,-31.6676037,-85.6508719,4,27,0,1,1
56,840,2,56,"CHILDERSBURG",0,-33.4572917,-86.2574629,13,28,0,1,1
57,840,2,57,"YOUNGTOWN",1,-34.4236313,-87.3907904,13,28,0,1,1
58,840,2,58,"MENTONE",1,-34.5810567,-85.5655830,13,28,0,1,1
59,840,2,59,"CARROLLTON",1,-33.2811827,-88.0092154,4,27,0,1,1
60,840,2,60,"HOLT",1,-33.2638251,-87.4241383,4,27,0,1,1
61,840,2,61,"ODENVILLE",1,-33.7185190,-86.4457647,13,28,0,1,1
62,840,2,62,"BORDEN SPRNG",0,-33.9282957,-85.4680639,11,28,0,1,1
63,840,2,63,"ROCK CHAPEL",1,-32.4128107,-87.5381089,4,27,0,1,1
64,840,2,64,"NIXBURG",0,-32.8224147,-86.1118009,11,28,0,1,1
65,840,2,65,"CALEBEE",1,-32.4341515,-85.8711729,4,27,0,1,1
66,840,2,66,"APPLETON",1,-31.2283931,-87.0654001,4,27,0,1,1
67,840,2,67,"MT. GILEAD",1,-31.4086552,-86.2700460,4,27,0,1,1
68,840,2,68,"MADRID",1,-31.0322875,-85.4115544,4,27,0,1,1
69,840,2,69,"GEORGETOWN",1,-30.9422777,-88.3523559,4,27,0,1,1
70,840,2,70,"BON SECOUR",1,-30.3038647,-87.7299991,3,27,0,1,1
71,840,2,71,"WHEELER DAM",1,-34.7961251,-87.3837235,14,24,0,1,1
72,840,2,72,"ELKMONT",1,-34.9292307,-86.9887629,14,24,0,1,1
73,840,2,73,"WOODVILLE",1,-34.9895137,-86.0671689,21,28,0,1,1
74,840,2,102,"COURTLAND",1,-34.6030578,-87.2543912,14,24,0,1,1
75,840,2,105,"BROOKSVILLE",1,-34.2126918,-86.4734413,13,28,0,1,1
76,840,2,109,"LAKEVIEW",1,-34.3086241,-85.9323092,13,28,0,1,1
77,840,2,111,"CHOCCOLOCCO",1,-33.6296357,-85.7466579,13,28,0,1,1
78,840,2,137,"LATHAM 2",1,-31.0706664,-87.8350582,4,27,0,1,1
79,840,2,140,"DAUPHIN IS 2",1,-30.2484660,-88.1123348,3,27,0,1,1
80,840,2,141,"ALABAMA PT 2",1,-30.2816323,-87.5183917,3,27,0,1,1
81,840,2,142,"ELBERTA",1,-30.3702220,-87.6024375,3,27,0,1,1
82,840,2,156,"KYMULGA",1,-33.2905307,-86.3312989,13,28,0,1,1
83,840,2,162,"Borden Springs 2",1,-33.9413322,-85.4504910,11,28,0,1,1
84,840,2,164,"NIXBURG 2",1,-32.8223710,-86.1117753,11,28,0,1,1
85,840,2,201,"VINA",1,-34.2884067,-88.0675579,4,27,0,1,1
86,840,2,203,"CARTER GROVE",1,-34.8223669,-86.6604516,14,24,0,1,1
87,840,2,204,"STEVENSON",1,-34.7575557,-85.8594579,13,28,0,1,1
88,840,2,205,"VERNON",1,-33.6853138,-88.1671198,4,27,0,1,1
89,840,2,206,"JASPER",0,-33.8168747,-87.1378259,13,28,0,1,1
90,840,2,207,"ONEONTA",1,-33.8564625,-86.3813006,13,28,0,1,1
91,840,2,208,"TALLADEGA",1,-33.3180161,-86.1573541,13,28,0,1,1
92,840,2,209,"WEDOWEE",1,-33.1844368,-85.4646040,11,29,0,1,1
93,840,2,210,"GASTONBURG",1,-32.1930088,-87.3792753,4,27,0,1,1
94,840,2,211,"AUTAUGAVILLE",1,-32.4860839,-86.5697685,4,27,0,1,1
95,840,2,212,"SEALE",1,-32.5033347,-85.2532189,4,27,0,1,1
96,840,2,213,"CITRONELLE",1,-31.1365731,-88.2207774,4,27,0,1,1
97,840,2,214,"CLAIBORNE",1,-31.7459607,-87.6361759,4,27,0,1,1
98,840,2,215,"HELICON",1,-31.9052647,-86.1853409,4,27,0,1,1
99,840,2,216,"EUFAULA",1,-31.7296264,-85.2558091,4,27,0,1,1
100,840,2,217,"ST. ELMO",1,-30.4866365,-88.3854517,3,27,0,1,1
101,840,2,218,"BAY MINETTE",1,-30.8034930,-87.6374375,3,27,0,1,1
102,840,2,306,"DRUMMOND",1,-33.8163386,-87.1416542,13,28,0,1,1
103,840,2,750,"TRIANA",1,-34.4761164,-86.4676524,14,24,0,2,1
104,840,2,751,"RIVERSIDE",1,-33.5919601,-86.2041575,13,28,0,2,1
